QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
4305108 CAXIAS DO SUL 2020-04-11 16:04:32 NS;4305108;NS;CAXIAS DO SUL;2020-04-11 16:04:32;OK;1;NorthSouth
3301009 CAMPOS DOS GOYTACAZES 2020-04-11 16:04:36 EW;3301009;EW;CAMPOS DOS GOYTACAZES;2020-04-11 16:04:36;OK;1;EastWest
3301009 CAMPOS DOS GOYTACAZES 2020-04-11 16:04:38 NS;3301009;NS;CAMPOS DOS GOYTACAZES;2020-04-11 16:04:38;OK;1;NorthSouth
1600303 MACAPÁ 2020-04-11 16:04:40 EW;1600303;EW;MACAPÁ;2020-04-11 16:04:40;OK;1;EastWest
1600303 MACAPÁ 2020-04-11 16:04:43 NS;1600303;NS;MACAPÁ;2020-04-11 16:04:43;OK;1;NorthSouth
4205407 FLORIANÓPOLIS 2020-04-11 16:04:45 EW;4205407;EW;FLORIANÓPOLIS;2020-04-11 16:04:45;OK;1;EastWest
4205407 FLORIANÓPOLIS 2020-04-11 16:04:49 NS;4205407;NS;FLORIANÓPOLIS;2020-04-11 16:04:49;OK;1;NorthSouth
3205200 VILA VELHA 2020-04-11 16:04:52 EW;3205200;EW;VILA VELHA;2020-04-11 16:04:52;OK;1;EastWest
3205200 VILA VELHA 2020-04-11 16:04:53 NS;3205200;NS;VILA VELHA;2020-04-11 16:04:53;OK;1;NorthSouth
3305109 SÃO JOÃO DE MERITI 2020-04-11 16:04:56 EW;3305109;EW;SÃO JOÃO DE MERITI;2020-04-11 16:04:56;OK;1;EastWest
3305109 SÃO JOÃO DE MERITI 2020-04-11 16:04:58 NS;3305109;NS;SÃO JOÃO DE MERITI;2020-04-11 16:04:58;OK;1;NorthSouth
3550308 SÃO PAULO 2020-04-11 17:00:27 EW;3550308;EW;SÃO PAULO;2020-04-11 17:00:27;OK;1;EastWest
3550308 SÃO PAULO 2020-04-11 17:00:31 NS;3550308;NS;SÃO PAULO;2020-04-11 17:00:31;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-04-11 17:00:33 EW;3304557;EW;RIO DE JANEIRO;2020-04-11 17:00:33;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-04-11 17:00:37 NS;3304557;NS;RIO DE JANEIRO;2020-04-11 17:00:37;OK;1;NorthSouth
5300108 BRASÍLIA 2020-04-11 17:00:40 EW;5300108;EW;BRASÍLIA;2020-04-11 17:00:40;OK;1;EastWest
5300108 BRASÍLIA 2020-04-11 17:00:42 NS;5300108;NS;BRASÍLIA;2020-04-11 17:00:42;OK;1;NorthSouth
2927408 SALVADOR 2020-04-11 17:00:45 EW;2927408;EW;SALVADOR;2020-04-11 17:00:45;OK;1;EastWest
2927408 SALVADOR 2020-04-11 17:00:48 NS;2927408;NS;SALVADOR;2020-04-11 17:00:48;OK;1;NorthSouth
2304400 FORTALEZA 2020-04-11 17:00:51 EW;2304400;EW;FORTALEZA;2020-04-11 17:00:51;OK;1;EastWest
2304400 FORTALEZA 2020-04-11 17:00:53 NS;2304400;NS;FORTALEZA;2020-04-11 17:00:53;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-04-11 17:00:55 EW;3106200;EW;BELO HORIZONTE;2020-04-11 17:00:55;OK;1;EastWest
3106200 BELO HORIZONTE 2020-04-11 17:00:59 NS;3106200;NS;BELO HORIZONTE;2020-04-11 17:00:59;OK;1;NorthSouth
1302603 MANAUS 2020-04-11 17:01:03 EW;1302603;EW;MANAUS;2020-04-11 17:01:03;OK;1;EastWest
1302603 MANAUS 2020-04-11 17:01:06 NS;1302603;NS;MANAUS;2020-04-11 17:01:06;OK;1;NorthSouth
4106902 CURITIBA 2020-04-11 17:01:09 EW;4106902;EW;CURITIBA;2020-04-11 17:01:09;OK;1;EastWest
4106902 CURITIBA 2020-04-11 17:01:12 NS;4106902;NS;CURITIBA;2020-04-11 17:01:12;OK;1;NorthSouth
2611606 RECIFE 2020-04-11 17:01:14 EW;2611606;EW;RECIFE;2020-04-11 17:01:14;OK;1;EastWest
2611606 RECIFE 2020-04-11 17:01:16 NS;2611606;NS;RECIFE;2020-04-11 17:01:16;OK;1;NorthSouth
5208707 GOIÂNIA 2020-04-11 17:01:18 EW;5208707;EW;GOIÂNIA;2020-04-11 17:01:18;OK;1;EastWest
5208707 GOIÂNIA 2020-04-11 17:01:22 NS;5208707;NS;GOIÂNIA;2020-04-11 17:01:22;OK;1;NorthSouth
1501402 BELÉM 2020-04-11 17:01:24 EW;1501402;EW;BELÉM;2020-04-11 17:01:24;OK;1;EastWest
1501402 BELÉM 2020-04-11 17:01:26 NS;1501402;NS;BELÉM;2020-04-11 17:01:26;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-04-11 17:01:29 EW;4314902;EW;PORTO ALEGRE;2020-04-11 17:01:29;OK;1;EastWest
4314902 PORTO ALEGRE 2020-04-11 17:01:31 NS;4314902;NS;PORTO ALEGRE;2020-04-11 17:01:31;OK;1;NorthSouth
3518800 GUARULHOS 2020-04-11 17:01:34 EW;3518800;EW;GUARULHOS;2020-04-11 17:01:34;OK;1;EastWest
3518800 GUARULHOS 2020-04-11 17:01:38 NS;3518800;NS;GUARULHOS;2020-04-11 17:01:38;OK;1;NorthSouth
3509502 CAMPINAS 2020-04-11 17:01:40 EW;3509502;EW;CAMPINAS;2020-04-11 17:01:40;OK;1;EastWest
3509502 CAMPINAS 2020-04-11 17:01:44 NS;3509502;NS;CAMPINAS;2020-04-11 17:01:44;OK;1;NorthSouth
2111300 SÃO LUÍS 2020-04-11 17:01:45 EW;2111300;EW;SÃO LUÍS;2020-04-11 17:01:45;OK;1;EastWest
2111300 SÃO LUÍS 2020-04-11 17:01:47 NS;2111300;NS;SÃO LUÍS;2020-04-11 17:01:47;OK;1;NorthSouth
3304904 SÃO GONÇALO 2020-04-11 17:01:50 EW;3304904;EW;SÃO GONÇALO;2020-04-11 17:01:50;OK;1;EastWest
3304904 SÃO GONÇALO 2020-04-11 17:01:52 NS;3304904;NS;SÃO GONÇALO;2020-04-11 17:01:52;OK;1;NorthSouth
